Niskin #,Cast #,Date,Time,Latitude [N],Longitude [W],CTD_Pressure [db],CTD_Depth [m],Sigma_theta [kg/m3],Salinity [psu],Temperature [C],PAR [units?],Oxygen [umol/L]
11.0,104.0,Apr 13 2018,813.583,17.68332,102.35004,52.937,52.614,25.375,34.6865,16.5778,1e-12,4.514
12.0,104.0,Apr 13 2018,807.75,17.68332,102.35006,43.077,42.815,24.75,34.5771,18.8024,1e-12,26.929
13.0,104.0,Apr 13 2018,701.083,17.68332,102.35002,22.365,22.23,23.6272,34.4258,22.5527,1e-12,171.903
14.0,104.0,Apr 13 2018,484.542,17.68332,102.35004,12.609,12.533,22.6254,34.5499,26.222,1e-12,219.102
1.0,105.0,Apr 13 2018,590.25,17.68326,102.35002,96.157,95.56,25.964,34.7875,14.2924,1e-12,2.663
2.0,105.0,Apr 13 2018,836.333,17.68328,102.35004,49.609,49.306,25.1249,34.6425,17.4887,1e-12,8.587
3.0,105.0,Apr 13 2018,838.292,17.68328,102.35004,50.603,50.295,25.1321,34.6439,17.4633,1e-12,8.565
4.0,105.0,Apr 13 2018,841.667,17.68328,102.35004,50.898,50.587,25.1344,34.6466,17.4625,1e-12,8.311
5.0,105.0,Apr 13 2018,845.542,17.68328,102.35004,49.695,49.392,25.1219,34.6422,17.5001,1e-12,8.54
6.0,105.0,Apr 13 2018,27.333,17.68326,102.35,40.293,40.048,24.7576,34.5912,18.8144,1e-12,22.28
7.0,105.0,Apr 13 2018,29.583,17.68327,102.35,39.55,39.309,24.7012,34.5681,18.967,1e-12,27.013
8.0,105.0,Apr 13 2018,53.0,17.68326,102.34998,40.454,40.208,24.7913,34.596,18.6951,1e-12,22.275
9.0,105.0,Apr 13 2018,60.0,17.68328,102.34998,40.706,40.459,24.8,34.5901,18.6431,1e-12,24.993
10.0,105.0,Apr 13 2018,235.25,17.6833,102.34994,34.708,34.497,24.4991,34.5252,19.6253,1e-12,45.077
11.0,105.0,Apr 13 2018,239.625,17.6833,102.34994,35.367,35.153,24.5358,34.5334,19.5081,1e-12,49.631
12.0,105.0,Apr 13 2018,243.375,17.6833,102.34994,35.805,35.588,24.5613,34.5438,19.4402,1e-12,43.226
13.0,105.0,Apr 13 2018,247.5,17.6833,102.34994,34.864,34.653,24.4901,34.5233,19.6545,1e-12,50.036
14.0,105.0,Apr 13 2018,468.833,17.68332,102.35,30.195,30.013,24.188,34.4481,20.5816,1e-12,97.827
15.0,105.0,Apr 13 2018,470.625,17.68332,102.35,30.494,30.31,24.1932,34.4491,20.5655,1e-12,98.167
16.0,105.0,Apr 13 2018,472.667,17.6833,102.35,30.888,30.701,24.1973,34.4506,20.5543,1e-12,97.557
17.0,105.0,Apr 13 2018,475.458,17.6833,102.35,30.375,30.191,24.1931,34.4501,20.5683,1e-12,97.229
18.0,105.0,Apr 13 2018,676.667,17.68332,102.35,25.279,25.127,23.7969,34.453,22.0242,1e-12,150.846
19.0,105.0,Apr 13 2018,678.708,17.68332,102.35,24.841,24.691,23.7758,34.4497,22.0904,1e-12,154.368
20.0,105.0,Apr 13 2018,680.375,17.68332,102.35,24.85,24.7,23.7766,34.4494,22.0868,1e-12,155.836
21.0,105.0,Apr 13 2018,683.292,17.68332,102.34998,25.407,25.253,23.782,34.4489,22.0661,1e-12,155.335
22.0,105.0,Apr 13 2018,893.875,17.6833,102.34994,20.149,20.027,23.4405,34.4366,23.2323,1e-12,192.92
23.0,105.0,Apr 13 2018,896.25,17.6833,102.34994,20.81,20.685,23.4859,34.4459,23.0999,1e-12,188.461
24.0,105.0,Apr 13 2018,902.5,17.68328,102.34994,19.737,19.618,23.4415,34.4386,23.2341,1e-12,189.131
1.0,106.0,Apr 13 2018,201.208,17.6833,102.35004,204.694,203.369,26.3563,34.8147,12.4869,1e-12,2.543
2.0,106.0,Apr 13 2018,461.917,17.68334,102.35006,176.119,174.991,26.2914,34.8286,12.8673,1e-12,2.663
3.0,106.0,Apr 13 2018,780.792,17.68334,102.35006,151.22,150.261,26.2559,34.8339,13.0622,1e-12,2.52
4.0,106.0,Apr 13 2018,915.875,17.68334,102.35,130.602,129.78,26.1884,34.8338,13.392,1e-12,2.193
5.0,106.0,Apr 14 2018,262.375,17.68332,102.35006,115.856,115.131,26.1526,34.8298,13.5497,1e-12,1.936
6.0,106.0,Apr 14 2018,452.042,17.68332,102.35004,100.892,100.264,26.0802,34.8143,13.8394,1e-12,2.474
7.0,106.0,Apr 14 2018,636.0,17.68332,102.35004,90.505,89.944,26.0305,34.8033,14.0349,1e-12,2.581
8.0,106.0,Apr 14 2018,602.625,17.68332,102.35002,80.246,79.751,25.8922,34.7714,14.5677,1e-12,2.277
9.0,106.0,Apr 14 2018,703.75,17.6833,102.35,70.387,69.954,25.754,34.754,15.1394,1e-12,2.485
10.0,106.0,Apr 14 2018,866.125,17.68329,102.35006,59.832,59.465,25.5694,34.7318,15.8863,1e-12,3.041
11.0,106.0,Apr 14 2018,51.667,17.68332,102.35006,55.376,55.037,25.5829,34.7369,15.8428,1e-12,2.777
12.0,106.0,Apr 14 2018,896.958,17.6833,102.35004,50.314,50.007,25.3477,34.7012,16.7423,1e-12,3.047
13.0,106.0,Apr 14 2018,485.625,17.68336,102.35008,45.489,45.212,25.149,34.6497,17.4105,1e-12,9.597
14.0,106.0,Apr 14 2018,553.042,17.68333,102.35004,40.135,39.892,24.9666,34.6132,18.0446,1e-12,17.146
15.0,106.0,Apr 14 2018,723.083,17.68334,102.35006,30.269,30.085,24.1736,34.541,20.8985,1e-12,65.373
16.0,106.0,Apr 14 2018,892.375,17.68336,102.35008,20.3,20.178,23.2761,34.4535,23.8402,1e-12,208.99
17.0,106.0,Apr 14 2018,697.458,17.68332,102.35004,10.044,9.984,22.3206,34.6089,27.3229,1e-12,215.955
1.0,107.0,Jan 01 2000,403.667,17.68326,102.3504,203.14,201.826,26.3582,34.8156,12.4808,1e-12,3.154
2.0,107.0,Jan 01 2000,936.083,17.68323,102.3504,176.116,174.989,26.2908,34.8295,12.8741,1e-12,3.282
3.0,107.0,Jan 01 2000,68.333,17.68326,102.35042,150.496,149.542,26.2325,34.8357,13.1851,1e-12,3.252
4.0,107.0,Jan 01 2000,474.417,17.68322,102.3504,130.386,129.566,26.1909,34.8352,13.3853,1e-12,3.303
5.0,107.0,Jan 01 2000,277.333,17.68326,102.35041,115.627,114.903,26.153,34.8322,13.5567,1e-12,3.057
6.0,107.0,Jan 02 2000,196.75,17.68324,102.35042,105.544,104.886,26.0961,34.8231,13.7965,1e-12,3.03
7.0,107.0,Jan 02 2000,135.458,17.68322,102.35042,95.648,95.055,26.0136,34.8059,14.1252,1e-12,2.963
8.0,107.0,Jan 02 2000,836.917,17.68316,102.35037,85.207,84.68,25.9109,34.7951,14.5666,1e-12,2.998
9.0,107.0,Jan 02 2000,231.458,17.6833,102.35044,80.984,80.484,25.803,34.7627,14.9483,1e-12,3.248
10.0,107.0,Jan 02 2000,196.083,17.68328,102.35042,75.851,75.383,25.7706,34.7583,15.0798,1e-12,3.511
11.0,107.0,Jan 02 2000,330.417,17.68328,102.35048,70.263,69.831,25.7732,34.759,15.0695,1e-12,3.526
12.0,107.0,Jan 02 2000,572.625,17.6832,102.3504,65.468,65.067,25.5541,34.7236,15.9261,1e-12,3.885
13.0,107.0,Jan 02 2000,157.75,17.68332,102.35044,60.301,59.932,25.3416,34.6717,16.6733,1e-12,5.695
14.0,107.0,Jan 02 2000,980.208,17.6833,102.35044,54.982,54.646,24.9664,34.5822,17.9511,1e-12,20.733
1.0,108.0,Apr 15 2018,377.083,17.68328,102.35038,121.121,120.361,26.189,34.8354,13.3941,1e-12,2.601
2.0,108.0,Apr 15 2018,719.333,17.68334,102.35038,111.025,110.331,26.1573,34.8327,13.5372,1e-12,2.31
3.0,108.0,Apr 15 2018,863.833,17.6833,102.35036,99.365,98.747,26.066,34.8237,13.9421,1e-12,2.448
4.0,108.0,Apr 15 2018,944.25,17.68334,102.35036,90.703,90.141,25.9534,34.8025,14.3955,1e-12,2.855
5.0,108.0,Apr 15 2018,516.333,17.68332,102.35036,80.875,80.376,25.826,34.771,14.8719,1e-12,3.098
6.0,108.0,Apr 15 2018,952.25,17.68328,102.35038,71.665,71.224,25.7458,34.7556,15.1821,1e-12,3.344
7.0,108.0,Apr 15 2018,112.875,17.6833,102.35036,60.251,59.881,25.528,34.7202,16.0287,1e-12,3.862
8.0,108.0,Apr 15 2018,657.792,17.68327,102.35034,50.791,50.481,24.9112,34.5718,18.1424,1e-12,24.756
9.0,108.0,Apr 15 2018,245.625,17.68326,102.35038,41.49,41.238,23.9858,34.4274,21.2736,1e-12,147.886
10.0,108.0,Apr 15 2018,467.417,17.68323,102.35036,31.612,31.421,23.9078,34.3948,21.4658,1e-12,169.858
11.0,108.0,Apr 15 2018,833.375,17.68328,102.35038,20.611,20.487,23.1735,34.4811,24.2574,1e-12,216.751
12.0,108.0,Apr 15 2018,247.667,17.68326,102.35036,10.728,10.664,22.5458,34.6363,26.6813,1e-12,215.943
